strain	galbut	day	replicate	number_alive	number_valid_flies
25192	FALSE	21	2	10	10
25192	FALSE	21	3	10	10
25192	FALSE	21	4	10	10
25192	FALSE	21	5	10	10
25192	FALSE	22	1	9	10
25192	FALSE	22	2	10	10
25192	FALSE	22	3	10	10
25192	FALSE	22	4	10	10
25192	FALSE	22	5	10	10
25192	FALSE	23	1	9	10
25192	FALSE	23	2	10	10
25192	FALSE	23	3	10	10
25192	FALSE	23	4	10	10
25192	FALSE	23	5	10	10
25192	FALSE	24	1	9	10
25192	FALSE	24	2	10	10
25192	FALSE	24	3	10	10
25192	FALSE	24	4	10	10
25192	FALSE	24	5	10	10
25192	FALSE	25	1	9	10
25192	FALSE	25	2	10	10
25192	FALSE	25	3	10	10
25192	FALSE	25	4	10	10
25192	FALSE	25	5	10	10
25192	FALSE	26	1	9	10
25192	FALSE	26	2	10	10
25192	FALSE	26	3	10	10
25192	FALSE	26	4	10	10
25192	FALSE	26	5	10	10
25192	FALSE	27	1	9	10
25192	FALSE	27	2	10	10
25192	FALSE	27	3	10	10
25192	FALSE	27	4	10	10
25192	FALSE	27	5	10	10
25192	FALSE	28	1	9	10
25192	FALSE	28	2	10	10
25192	FALSE	28	3	10	10
25192	FALSE	28	4	10	10
25192	FALSE	28	5	10	10
25192	FALSE	29	1	9	10
25192	FALSE	29	2	10	10
25192	FALSE	29	3	10	10
25192	FALSE	29	4	10	10
25192	FALSE	29	5	10	10
25192	FALSE	30	1	9	10
25192	FALSE	30	2	10	10
25192	FALSE	30	3	10	10
25192	FALSE	30	4	10	10
25192	FALSE	30	5	10	10
25192	FALSE	31	1	9	10
25192	FALSE	31	2	10	10
25192	FALSE	31	3	10	10
25192	FALSE	31	4	10	10
25192	FALSE	31	5	10	10
25192	FALSE	32	1	9	10
25192	FALSE	32	2	10	10
25192	FALSE	32	3	10	10
25192	FALSE	32	4	10	10
25192	FALSE	32	5	10	10
25192	FALSE	33	1	9	10
25192	FALSE	33	2	10	10
25192	FALSE	33	3	10	10
25192	FALSE	33	4	10	10
25192	FALSE	33	5	10	10
25192	FALSE	34	1	9	10
25192	FALSE	34	2	10	10
25192	FALSE	34	3	10	10
25192	FALSE	34	4	10	10
25192	FALSE	34	5	10	10
25192	FALSE	35	1	9	10
25192	FALSE	35	2	10	10
25192	FALSE	35	3	10	10
25192	FALSE	35	4	10	10
25192	FALSE	35	5	10	10
25192	FALSE	36	1	9	10
25192	FALSE	36	2	10	10
25192	FALSE	36	3	10	10
25192	FALSE	36	4	10	10
25192	FALSE	36	5	10	10
25192	FALSE	37	1	9	10
25192	FALSE	37	2	10	10
25192	FALSE	37	3	10	10
25192	FALSE	37	4	10	10
25192	FALSE	37	5	10	10
25192	FALSE	38	1	9	10
25192	FALSE	38	2	10	10
25192	FALSE	38	3	10	10
25192	FALSE	38	4	10	10
25192	FALSE	38	5	10	10
25192	FALSE	39	1	9	10
25192	FALSE	39	2	10	10
25192	FALSE	39	3	10	10
25192	FALSE	39	4	10	10
25192	FALSE	39	5	10	10
25192	FALSE	40	1	9	10
25192	FALSE	40	2	10	10
25192	FALSE	40	3	10	10
25192	FALSE	40	4	10	10
25192	FALSE	40	5	10	10
25192	FALSE	41	1	9	10
25192	FALSE	41	2	10	10
25192	FALSE	41	3	10	10
25192	FALSE	41	4	10	10
25192	FALSE	41	5	9	10
25192	FALSE	42	1	8	10
25192	FALSE	42	2	10	10
25192	FALSE	42	3	10	10
25192	FALSE	42	4	9	10
25192	FALSE	42	5	8	10
25192	FALSE	43	1	8	10
25192	FALSE	43	2	9	10
25192	FALSE	43	3	10	10
25192	FALSE	43	4	9	10
25192	FALSE	43	5	8	10
25192	FALSE	44	1	8	10
25192	FALSE	44	2	9	10
25192	FALSE	44	3	10	10
25192	FALSE	44	4	9	10
25192	FALSE	44	5	8	10
25192	FALSE	45	1	6	10
25192	FALSE	45	2	9	10
25192	FALSE	45	3	10	10
25192	FALSE	45	4	8	10
25192	FALSE	45	5	7	10
25192	FALSE	46	1	6	10
25192	FALSE	46	2	9	10
25192	FALSE	46	3	10	10
25192	FALSE	46	4	7	10
25192	FALSE	46	5	7	10
25192	FALSE	47	1	4	10
25192	FALSE	47	2	9	10
25192	FALSE	47	3	10	10
25192	FALSE	47	4	7	10
25192	FALSE	47	5	7	10
25192	FALSE	48	1	4	10
25192	FALSE	48	2	9	10
25192	FALSE	48	3	9	10
25192	FALSE	48	4	7	10
25192	FALSE	48	5	5	10
25192	FALSE	49	1	4	10
25192	FALSE	49	2	9	10
25192	FALSE	49	3	8	10
25192	FALSE	49	4	7	10
25192	FALSE	49	5	5	10
25192	FALSE	50	1	3	10
25192	FALSE	50	2	5	10
25192	FALSE	50	3	7	10
25192	FALSE	50	4	7	10
25192	FALSE	50	5	4	10
25192	FALSE	51	1	2	10
25192	FALSE	51	2	5	10
25192	FALSE	51	3	7	10
25192	FALSE	51	4	6	10
25192	FALSE	51	5	4	10
25192	FALSE	52	1	2	10
25192	FALSE	52	2	5	10
25192	FALSE	52	3	5	10
25192	FALSE	52	4	6	10
25192	FALSE	52	5	4	10
25192	FALSE	53	1	2	10
25192	FALSE	53	2	5	10
25192	FALSE	53	3	3	10
25192	FALSE	53	4	6	10
25192	FALSE	53	5	4	10
25192	FALSE	54	1	2	10
25192	FALSE	54	2	4	10
25192	FALSE	54	3	3	10
25192	FALSE	54	4	6	10
25192	FALSE	54	5	4	10
25192	FALSE	55	1	2	10
25192	FALSE	55	2	4	10
25192	FALSE	55	3	2	10
25192	FALSE	55	4	6	10
25192	FALSE	55	5	4	10
25192	FALSE	56	1	2	10
25192	FALSE	56	2	3	10
25192	FALSE	56	3	2	10
25192	FALSE	56	4	5	10
25192	FALSE	56	5	3	10
25192	FALSE	57	1	2	10
25192	FALSE	57	2	2	10
25192	FALSE	57	3	2	10
25192	FALSE	57	4	3	10
25192	FALSE	57	5	3	10
25192	FALSE	58	1	2	10
25192	FALSE	58	2	2	10
25192	FALSE	58	3	2	10
25192	FALSE	58	4	3	10
25192	FALSE	58	5	3	10
25192	FALSE	59	1	2	10
25192	FALSE	59	2	2	10
25192	FALSE	59	3	2	10
25192	FALSE	59	4	3	10
25192	FALSE	59	5	3	10
25192	FALSE	60	1	1	10
25192	FALSE	60	2	0	10
25192	FALSE	60	3	1	10
25192	FALSE	60	4	2	10
25192	FALSE	60	5	3	10
25192	FALSE	61	1	1	10
25192	FALSE	61	2	0	10
25192	FALSE	61	3	1	10
25192	FALSE	61	4	2	10
25192	FALSE	61	5	3	10
25192	FALSE	62	1	1	10
25192	FALSE	62	2	0	10
25192	FALSE	62	3	1	10
25192	FALSE	62	4	2	10
25192	FALSE	62	5	3	10
25192	FALSE	63	1	1	10
25192	FALSE	63	2	0	10
25192	FALSE	63	3	1	10
25192	FALSE	63	4	2	10
25192	FALSE	63	5	3	10
25192	FALSE	64	1	1	10
25192	FALSE	64	2	0	10
25192	FALSE	64	3	1	10
25192	FALSE	64	4	2	10
25192	FALSE	64	5	3	10
25192	FALSE	65	1	1	10
25192	FALSE	65	2	0	10
25192	FALSE	65	3	1	10
25192	FALSE	65	4	2	10
25192	FALSE	65	5	3	10
25192	FALSE	66	1	1	10
25192	FALSE	66	2	0	10
25192	FALSE	66	3	0	10
25192	FALSE	66	4	2	10
25192	FALSE	66	5	3	10
25192	FALSE	67	1	1	10
25192	FALSE	67	2	0	10
25192	FALSE	67	3	0	10
25192	FALSE	67	4	2	10
25192	FALSE	67	5	3	10
25192	FALSE	68	1	0	10
25192	FALSE	68	2	0	10
25192	FALSE	68	3	0	10
25192	FALSE	68	4	1	10
25192	FALSE	68	5	3	10
25192	FALSE	69	1	0	10
25192	FALSE	69	2	0	10
25192	FALSE	69	3	0	10
25192	FALSE	69	4	1	10
25192	FALSE	69	5	2	10
25192	FALSE	70	1	0	10
25192	FALSE	70	2	0	10
25192	FALSE	70	3	0	10
25192	FALSE	70	4	1	10
25192	FALSE	70	5	1	10
25192	FALSE	71	1	0	10
25192	FALSE	71	2	0	10
25192	FALSE	71	3	0	10
25192	FALSE	71	4	1	10
25192	FALSE	71	5	1	10
25192	FALSE	72	1	0	10
25192	FALSE	72	2	0	10
25192	FALSE	72	3	0	10
25192	FALSE	72	4	0	10
25192	FALSE	72	5	1	10
